name	label
ag:Stanley_Hopkins	0
ag:maid	0
cm:owner_of_lodge	0
cm:Barclay	0
rp:Young_man	0
sl:Gypsy	0
ci:Woman	0
sb:man	0
rp:Robbery_of_the_indentation	0
sl:Ned_Hunter_and_two_young_men	0
sb:Roylott	0
ci:Holmes	0
rp:Holmes	0
df:Roundhay	0
sl:Watson	0
dm:Abe_Slaney	0
sl:Silver_Blaze	0
ci:Etheridge	0
cm:10000_rebels	0
rp:Elderly_man	0
sl:Jockey	0
dm:Criminal	0
cm:resident	0
cm:police	0
sl:Gypsy_of_Dartmoor	0
ag:The_local_police	0
ci:Watson	0
ag:Sailor	0
sl:police	0
dm:Someone	0
cm:guest	0
rp:great_incident_at_the_Warsindon_Bank	0
rp:father_of_Young_man	0
ci:Single_women	0
ag:Lady_Brackenstall	0
sl:Man	0
df:Mortimer	0
dm:Watson	0
cm:soldier	0
ag:Behavior_of_Jack_Croker	0
df:Doctor_Richard	0
sb:craftsman	0
sb:coroner	0
cm:old_friends_of_Henry	0
rp:Conspirators	0
ag:three_people	0
sl:Inspector_Gregory	0
sl:Jockey_of_Colonel_Ross	0
cm:Morrison	0
rp:Man_entered_the_room_of_Blessington	0
rp:Russian_aristocracy	0
sl:Wasteland	0
ci:Man	0
cm:someone	0
sb:culprit	0
rp:maid	0
ag:bracket	0
cm:Watson	0
sl:Various_people	0
sb:sister_of_mother_of_Helen	0
cm:witness_of_Henry	0
cm:Herny	0
cm:witness_of_Holmes	0
sl:Owner	0
ag:Train_crew	0
sl:Silas_Brown	0
ci:husband_of_Etheridge	0
ag:police	0
ag:appearance	0
sl:horse_trainer_of_Colonel_Ross	0
sl:Ned_Hunter	0
ci:Hardy	0
ag:accomplice	0
ag:Sir_Eustace_Brackenstall	0
ag:Criminal	0
ag:favorite_man	0
cm:doctor	0
sl:children	0
cm:David	0
sb:mother_of_Helen	0
dm:Local_doctor	0
cm:Jane	0
sb:Watson	0
ci:Ned	0
cm:child	0
ag:All_of_maids	0
rp:intruder	0
ag:Residents_of_Abbey_Grange	0
rp:Criminal	0
df:Former_wife	0
ci:Boy	0
rp:5th_man	0
ag:Burglary_team_of_Lewisham	0
sl:Stableman	0
cm:coward	0
rp:Police	0
rp:great_incident_at_the_Warsindon_Bank.	0
rp:face_of_young_man	0
sl:Criminal	0
cm:Monday	0
dm:New_face	0
rp:Worthington_bank_Robbers	0
ag:Maid	0
ci:father_of_Sutherland	0
ag:Comparable_Officer	0
dm:father_of_Elsie	0
rp:Watson	0
rp:The_identity_of_the_intruder	0
cm:criminal	0
ag:Sir_Eustace_brackenstall	0
ag:Police	0
rp:chest_of_Young_man	0
rp:Percy_Trevelyan	0
dm:Maid	0
sb:Helen	0
rp:Blessington	0
cm:old_soldier	0
sl:Police	0
cm:man	0
sl:two_young_men	0
cm:Henry	0
cm:dwelleers_of_mountain	0
sb:Percy_Armitage	0
ag:Two_people	0
sl:Holmes	0
df:Brenda	0
cm:criminal_of_incident	0
df:George	0
sb:Holmes	0
sl:Wife_of_John_Straker	0
rp:Lanner_Inspector	0
ag:The_Bays_Rock	0
ag:use	0
sb:Julia	0
sl:Colonel_Ross	0
rp:police	0
rp:Cartwright	0
ag:everyone	0
dm:Third_person	0
sb:housekeeper	0
rp:Patient	0
rp:Elderly_man_and_Young_man	0
cm:civilian	0
ag:Theresa	0
sl:John_Straker	0
sl:William_Derbyshire	0
sl:murderer	0
rp:cadaver	0
rp:Tobin	0
sl:Edith_Baxter	0
ag:eight_maids	0
rp:Sutton	0
sb:villager_of_Stoke_Moran	0
ci:parent	0
rp:living_person	0
ci:Sutherland	0
rp:patient	0
ag:siblings_of_Lady_Brackenstall	0
cm:father_of_Nancy	0
cm:daughter_of_ensign_sergeant	0
rp:Aspiring_specialists	0
sb:Sleeping_Woman	0
sb:mother_of_sister	0
dm:Horse_boy	0
dm:Cubitt	0
rp:someone	0
dm:Holmes	0
ag:Jack_Croker	0
sl:Two_young_men	0
ag:Old_man	0
dm:Martin	0
cm:Holmes	0
sl:jockey	0
dm:Willson	0
ag:criminal	0
ag:acrobat	0
ci:Windibank	0
rp:The_third_person	0
sb:doctor_of_Stoke_Moran	0
df:Owen	0
sb:house_of_Holmes	1
ag:The_Rock-Of-Gibraltar	1
sb:right_building	1
cm:room_of_Henry	1
sb:Roylott’s_bedroom	1
cm:Hudson_Street	1
rp:colonial_East_India	1
ag:Company_office	1
ag:The_top_floor_of_the_Abbey_Grange	1
cm:Watts_Street_Church	1
cm:Waterloo	1
sl:Wasteland	1
df:Toridnik_Wasa	1
ci:Andova	1
cm:barrack_of_India	1
dm:Chicago	1
cm:Nepal	1
rp:Examination_room	1
sb:Harrow	1
cm:end_of_Darjeeling	1
ag:Living_room	1
cm:dining_room	1
rp:Room_of_Percy_Trevelyan	1
ci:Holmes_s_office	1
rp:Room_safe_of_Blessington	1
dm:home_of_Cubitt	1
rp:house	1
ag:room_of_Lady_Brackenstall	1
rp:Blessington_room	1
sl:The_right_side_of_the_recess	1
cm:house_of_Henry	1
sb:than_bedroom_of_sister	1
ag:police	1
sl:Plymouth	1
ci:Redon_Hall_Street	1
cm:Rasheen	1
cm:30_yards_from_the_main_street	1
ag:Stanley_Hopkins	1
sb:Crown_Inn	1
ag:room_of_Lady_Blackenstall	1
sl:The_left_side_of_the_recess	1
ag:Dining_room_of_Abbey_Grange	1
sb:mansion_of_Roylott	1
dm:Inside	1
ag:Sydenham	1
ag:Annex_of_Abbey_Grange	1
rp:The_best_two_rooms_located_on_the_second_floor	1
sl:John_Straker	1
sb:Crane_Water	1
sl:camp	1
cm:in_front_of_Rasheen	1
cm:Watts_Street	1
ag:dining_room	1
dm:home	1
ag:Gate_of_garden	1
ag:home_port	1
sb:Leatherhead_station	1
ag:home	1
df:Toridan_Wasa	1
ag:Adelaide	1
sb:first_floor_of_one_building_of_mansion_of_Roylott	1
dm:Norwich	1
dm:New_York	1
sl:Sport_Club_of_London	1
sl:London	1
ag:3_inch	1
dm:Corridor	1
cm:garden	1
cm:main_stree	1
ag:center_of_Abbey_Grange	1
sb:India	1
dm:station	1
ci:England	1
rp:Wide_stairs	1
rp:keyhole	1
cm:living_room	1
cm:Baker_Street	1
rp:Cigar_purse	1
sl:Mapleton	1
dm:three_sides_of_study_room	1
rp:Downstairs_in_the_laboratory	1
dm:London	1
ag:Suez_Canal	1
rp:waiting_room	1
cm:0.5_miles_from_the_northern_camp	1
ag:Southampton	1
ag:bottom_of_pond_of_garden	1
ci:Saint_St_Pancras_Hotel	1
dm:North_Walsham	1
ag:The_entire_room	1
sb:Stoke_Moran	1
cm:Afghanistan	1
sb:bedroom_of_housekeeper	1
sb:corridor	1
rp:Home_of_Percy_Trevelyan	1
cm:dining_room_of_lodge	1
sb:London	1
sl:King_s_Pyland	1
rp:West_End_neighborhood	1
dm:front	1
dm:Maid_room	1
dm:Dancing_dolls	1
dm:Norfolk	1
ag:Many_rooms	1
rp:beside_the_corpse	1
ag:room_of_Theresa	1
rp:Upper_floor	1
ag:window	1
rp:Doctors_of_the_treatment_of_catalepsy	1
cm:Punjab	1
ag:Scotland_Yard	1
ag:pond_of_garden_of_Abbey_Grange	1
sl:Stables_of_Mapleton	1
rp:Blessington_bedroom	1
rp:cover_of_his_jacket	1
ci:Between_seams_of_window	1
cm:Aldershot	1
rp:middle	1
ci:Hague	1
ci:France	1
dm:Study_room	1
dm:outside	1
ag:Kitchen	1
cm:bypath	1
sb:bedroom	1
cm:England	1
dm:garden	1
ag:annex	1
dm:study_room	1
sb:living_room	1
dm:the_fourth_position	1
rp:end_of_a_line	1
ag:bottom_of_pond	1
rp:Front_door	1
sb:Crewe	1
dm:Elridge	1
cm:main_street	1
rp:Brook_Street_house	1
ci:Totenham_Court_street	1
cm:barrack	1
cm:outside	1
dm:the_second_position	1
rp:fireplace	1
sl:Tavistock	1
rp:Brook_Street	1
ag:New_York	1
rp:Out_of_the_window	1
dm:room	1
rp:Street_address	1
df:cottage_of_Pordeux_Bay	1
rp:Stairs	1
cm:bedroom	1
rp:lead	1
cm:gardern	1
sb:Helen’s_bedroom	1
ci:house_of_Holmes	1
ag:Sideboard	1
cm:loophole	1
dm:Neighborhood	1
sb:garden_of_Roylott	1
dm:America	1
ag:Dining_room	1
ci:Fengchurch_Street	1
ci:Auckland	1
sb:Julia’s_bedroom	1
ag:Abbey_Grange	1
ag:Kent	1
sl:Mapleton_riding_ground_stables	1
sl:Dartmoor	1
cm:room_of_Nancy	1
ag:room_of_Holmes	1
rp:Room_of_Blessington	1
dm:East_Ruston	1
sl:John_Straker_house	1
rp:Bank	1
ag:London	1
rp:Baker_Street	1
dm:Bedroom	1
cm:lodge	1
rp:Twelve_city_near_Cavendish_Square	1
rp:Own_identity	2
sl:The_following_horse_racing	2
sb:ventilator	2
ag:Charm	2
dm:June	2
df:Unintelligible_thing	2
sl:tie	2
rp:That	2
sl:Drink	2
rp:hard-line_disease	2
sl:Dressing_table	2
sl:noise	2
sb:central_building	2
df:Idea_by_Mortimer	2
sl:The_right_side	2
df:case	2
ag:kitchen	2
sb:the_time	2
sb:Helen’s_mothers_death	2
rp:clever_way	2
dm:frame	2
ci:Back_and_forth	2
ci:mark	2
df:news	2
df:New_stimulus	2
ag:Arm	2
df:Miserable_sight	2
df:flower_bed	2
cm:Nancy_	2
cm:large_glass_door	2
df:sample	2
df:finger	2
ci:Redon_Hall_Street	2
cm:meeting	2
cm:ermine	2
df:fear	2
dm:the_final_position	2
sb:quietly	2
sb:soon	2
sl:Information_about_the_Desborough	2
ag:Career	2
ci:meaning	2
sl:Depression_there_was_a_dead_body	2
ag:the_people	2
ci:together	2
df:Father	2
df:literature	2
sl:Reasoning_Detective	2
rp:the_letter	2
ag:article	2
cm:many_times	2
sl:two_mile	2
df:Exterior	2
sl:3_sheep	2
sl:Dog	2
dm:desk	2
sl:incident	2
sl:Figure	2
sl:Inference	2
cm:foot	2
rp:Hand	2
df:Ash	2
df:fantasy_story	2
rp:unexpected_events	2
rp:Several_years_worth	2
rp:Notification	2
sl:optium	2
df:Radix_pedis_diaboli	2
sl:Stables	2
sl:money	2
