doc1,doc2,average
1,2,2.125
3,4,2.7777777777777777
5,6,2.6666666666666665
3,7,2.8
1,8,2.0
9,10,2.3333333333333335
3,11,1.9
6,12,1.7777777777777777
13,14,2.888888888888889
5,15,2.111111111111111
1,16,2.8
3,1,2.3
9,17,2.142857142857143
6,18,2.5
3,19,1.6666666666666667
13,20,1.8
1,21,2.3
9,22,1.9
5,23,2.888888888888889
3,24,2.6666666666666665
13,25,2.2222222222222223
6,26,2.6
3,27,2.125
9,28,2.3
13,29,2.5
5,30,2.4
1,31,2.5555555555555554
6,32,2.2
9,33,3.3
3,13,1.9
5,34,2.2
1,6,2.4444444444444446
13,35,2.9
6,10,2.1
3,36,2.75
5,37,1.8
36,38,2.0
9,39,2.2222222222222223
1,15,2.3333333333333335
6,17,1.7
5,40,2.4444444444444446
9,41,2.0
36,42,2.5555555555555554
1,23,2.8
5,43,2.7
6,22,3.0
9,44,2.6
3,38,2.4444444444444446
36,45,3.1
1,30,2.5
5,9,3.1
9,46,1.7
3,42,2.3333333333333335
6,28,2.0
1,34,2.1
9,47,2.7
6,33,2.4
3,45,3.4
36,48,2.6
9,14,2.1
6,39,2.3
1,37,2.3
5,49,2.3333333333333335
9,20,2.6
36,5,2.111111111111111
6,41,2.2
3,48,2.6666666666666665
1,40,2.5555555555555554
6,44,2.5
3,5,2.888888888888889
5,50,3.25
36,2,2.2222222222222223
9,25,2.5
6,46,2.6
3,2,2.6666666666666665
5,12,2.0
9,29,2.0
1,43,3.0
36,8,2.3333333333333335
3,8,2.0
5,18,2.1
3,16,1.8
6,47,2.3
36,16,2.2
5,26,3.0
6,14,3.4
9,35,2.6666666666666665
3,21,1.7777777777777777
36,21,2.6
6,20,2.6666666666666665
5,32,2.375
1,9,3.0
3,31,2.7
5,10,2.5555555555555554
6,25,2.9
1,49,2.5555555555555554
3,6,2.7777777777777777
36,31,1.7777777777777777
49,50,2.8
5,17,2.4
6,29,2.111111111111111
3,15,2.5555555555555554
1,50,1.9
49,12,2.7
6,35,2.3333333333333335
3,23,2.2222222222222223
5,22,2.3
36,6,2.25
1,12,3.125
15,23,2.6
3,30,2.2
5,28,2.4444444444444446
36,15,2.3
1,18,3.0
15,30,3.375
49,18,3.111111111111111
3,34,2.9
5,33,2.1
36,23,2.5
1,26,2.7
49,26,1.9
3,37,2.6
5,39,2.6666666666666665
15,34,2.1
1,32,2.5555555555555554
3,40,2.3
49,32,2.1
36,30,1.875
15,37,2.5
1,10,2.875
3,43,3.0
49,10,2.5
5,41,3.3
36,34,2.7
15,40,2.8
1,17,2.375
5,44,3.0
3,9,1.7
36,37,2.5555555555555554
49,17,2.8
3,49,1.7
15,43,2.375
1,22,2.5555555555555554
5,46,2.0
36,40,3.0
49,22,1.9
5,47,2.111111111111111
1,28,2.4444444444444446
3,50,2.6666666666666665
15,9,2.2222222222222223
36,43,2.5
5,14,2.7777777777777777
1,33,2.3333333333333335
15,49,2.7
3,12,2.3
36,9,1.8888888888888888
49,28,3.3
15,50,2.3333333333333335
3,18,2.4
5,20,3.0
49,33,2.6
36,49,3.111111111111111
15,12,2.888888888888889
49,39,2.4444444444444446
5,25,2.5
3,26,2.125
49,41,4.0
15,18,2.3
5,29,2.7
1,39,2.2
36,50,2.888888888888889
3,32,2.9
5,35,2.7
15,26,2.2
36,12,2.625
3,10,2.7
49,44,2.6
1,41,2.2222222222222223
2,8,2.111111111111111
36,18,1.5
15,32,2.6666666666666665
3,17,3.125
49,46,2.0
1,44,2.625
2,16,2.125
15,10,2.2222222222222223
3,22,2.5
36,26,2.1
15,17,3.5555555555555554
2,21,2.4
3,28,2.5
1,46,2.3
15,22,1.7777777777777777
49,47,2.4
2,31,2.6666666666666665
3,33,2.3333333333333335
1,47,3.2
3,39,2.5
36,32,2.875
2,6,2.4444444444444446
15,28,2.7
3,41,3.3
36,10,3.111111111111111
2,15,2.2
