task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.742592592592593
Classification,kgrc_person_object_place,1.0,NB,,0.744444444444444
Classification,kgrc_person_object_place,1.0,NB,,0.753703703703704
Classification,kgrc_person_object_place,1.0,NB,,0.748148148148148
Classification,kgrc_person_object_place,1.0,NB,,0.748148148148148
Classification,kgrc_person_object_place,1.0,NB,,0.746296296296296
Classification,kgrc_person_object_place,1.0,NB,,0.744444444444444
Classification,kgrc_person_object_place,1.0,NB,,0.742592592592593
Classification,kgrc_person_object_place,1.0,NB,,0.742592592592593
Classification,kgrc_person_object_place,1.0,NB,,0.746296296296296
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.783333333333333
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.8
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.798148148148148
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.794444444444444
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.807407407407408
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.805555555555556
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.796296296296296
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.8
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.805555555555556
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.794444444444444
Classification,kgrc_person_object_place,1.0,C45,,0.690740740740741
Classification,kgrc_person_object_place,1.0,C45,,0.711111111111111
Classification,kgrc_person_object_place,1.0,C45,,0.67037037037037
Classification,kgrc_person_object_place,1.0,C45,,0.705555555555556
Classification,kgrc_person_object_place,1.0,C45,,0.707407407407408
Classification,kgrc_person_object_place,1.0,C45,,0.705555555555556
Classification,kgrc_person_object_place,1.0,C45,,0.722222222222222
Classification,kgrc_person_object_place,1.0,C45,,0.688888888888889
Classification,kgrc_person_object_place,1.0,C45,,0.687037037037037
Classification,kgrc_person_object_place,1.0,C45,,0.666666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.812962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.812962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.97037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.811111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.811111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.857407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.807407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.807407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.807407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.807407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.857407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.968518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.968518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.968518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.805555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.805555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.97037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.97037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.97037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.8
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.8
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.968518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.807407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.807407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.972222222222222
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.968518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.968518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.811111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.811111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.97037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.811111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.811111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.857407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.966666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.972222222222222
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.807407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.807407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.968518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.964814814814815
