task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_place,0.775,NB,,0.740833333333333
Classification,kgrc_person_place,0.775,NB,,0.734166666666667
Classification,kgrc_person_place,0.775,NB,,0.729583333333333
Classification,kgrc_person_place,0.775,NB,,0.741666666666667
Classification,kgrc_person_place,0.775,NB,,0.7425
Classification,kgrc_person_place,0.775,NB,,0.72125
Classification,kgrc_person_place,0.775,NB,,0.740833333333333
Classification,kgrc_person_place,0.775,NB,,0.729166666666667
Classification,kgrc_person_place,0.775,NB,,0.73625
Classification,kgrc_person_place,0.775,NB,,0.737916666666667
Classification,kgrc_person_place,0.775,KNN,K=3,0.824166666666667
Classification,kgrc_person_place,0.775,KNN,K=3,0.806666666666667
Classification,kgrc_person_place,0.775,KNN,K=3,0.775833333333333
Classification,kgrc_person_place,0.775,KNN,K=3,0.8
Classification,kgrc_person_place,0.775,KNN,K=3,0.81375
Classification,kgrc_person_place,0.775,KNN,K=3,0.818333333333333
Classification,kgrc_person_place,0.775,KNN,K=3,0.8175
Classification,kgrc_person_place,0.775,KNN,K=3,0.774166666666667
Classification,kgrc_person_place,0.775,KNN,K=3,0.7875
Classification,kgrc_person_place,0.775,KNN,K=3,0.811666666666667
Classification,kgrc_person_place,0.775,C45,,0.664166666666667
Classification,kgrc_person_place,0.775,C45,,0.70375
Classification,kgrc_person_place,0.775,C45,,0.678333333333333
Classification,kgrc_person_place,0.775,C45,,0.72875
Classification,kgrc_person_place,0.775,C45,,0.685
Classification,kgrc_person_place,0.775,C45,,0.66375
Classification,kgrc_person_place,0.775,C45,,0.684166666666667
Classification,kgrc_person_place,0.775,C45,,0.7225
Classification,kgrc_person_place,0.775,C45,,0.665416666666667
Classification,kgrc_person_place,0.775,C45,,0.625
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.555416666666667
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.902916666666667
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.92875
Classification,kgrc_person_place,0.775,SVM,C=100,0.9225
Classification,kgrc_person_place,0.775,SVM,C=1000,0.9225
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.549166666666667
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.909583333333333
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.929166666666667
Classification,kgrc_person_place,0.775,SVM,C=100,0.929166666666667
Classification,kgrc_person_place,0.775,SVM,C=1000,0.929166666666667
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.555833333333333
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.917083333333334
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.9425
Classification,kgrc_person_place,0.775,SVM,C=100,0.93625
Classification,kgrc_person_place,0.775,SVM,C=1000,0.93625
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.549583333333333
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.916666666666667
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.935416666666667
Classification,kgrc_person_place,0.775,SVM,C=100,0.92875
Classification,kgrc_person_place,0.775,SVM,C=1000,0.92875
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.561666666666667
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.90375
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.92875
Classification,kgrc_person_place,0.775,SVM,C=100,0.921666666666667
Classification,kgrc_person_place,0.775,SVM,C=1000,0.921666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.555833333333333
