task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.85
Classification,kgrc_qt900,1.0,NB,,0.848888888888889
Classification,kgrc_qt900,1.0,NB,,0.855555555555556
Classification,kgrc_qt900,1.0,NB,,0.85
Classification,kgrc_qt900,1.0,NB,,0.854444444444444
Classification,kgrc_qt900,1.0,NB,,0.851111111111111
Classification,kgrc_qt900,1.0,NB,,0.851111111111111
Classification,kgrc_qt900,1.0,NB,,0.844444444444444
Classification,kgrc_qt900,1.0,NB,,0.854444444444444
Classification,kgrc_qt900,1.0,NB,,0.853333333333333
Classification,kgrc_qt900,1.0,KNN,K=3,0.887777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.891111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.888888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.891111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.886666666666667
Classification,kgrc_qt900,1.0,KNN,K=3,0.888888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.888888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.89
Classification,kgrc_qt900,1.0,KNN,K=3,0.895555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.891111111111111
Classification,kgrc_qt900,1.0,C45,,0.796666666666667
Classification,kgrc_qt900,1.0,C45,,0.802222222222222
Classification,kgrc_qt900,1.0,C45,,0.796666666666667
Classification,kgrc_qt900,1.0,C45,,0.782222222222222
Classification,kgrc_qt900,1.0,C45,,0.778888888888889
Classification,kgrc_qt900,1.0,C45,,0.797777777777778
Classification,kgrc_qt900,1.0,C45,,0.775555555555556
Classification,kgrc_qt900,1.0,C45,,0.812222222222222
Classification,kgrc_qt900,1.0,C45,,0.785555555555556
Classification,kgrc_qt900,1.0,C45,,0.774444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.814444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.814444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.887777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.954444444444444
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.963333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.822222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.822222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.881111111111111
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.953333333333333
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.966666666666667
Classification,kgrc_qt900,1.0,SVM,C=100,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=1000,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.815555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.815555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.881111111111111
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.954444444444444
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.97
Classification,kgrc_qt900,1.0,SVM,C=100,0.974444444444444
Classification,kgrc_qt900,1.0,SVM,C=1000,0.974444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.825555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.825555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.878888888888889
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.951111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.972222222222222
Classification,kgrc_qt900,1.0,SVM,C=100,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=1000,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.816666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.816666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.885555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.952222222222222
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.965555555555556
Classification,kgrc_qt900,1.0,SVM,C=100,0.97
Classification,kgrc_qt900,1.0,SVM,C=1000,0.97
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.82
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.82
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.885555555555555
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.952222222222222
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.963333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=1000,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.812222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.812222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.886666666666667
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.95
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.964444444444444
Classification,kgrc_qt900,1.0,SVM,C=100,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.816666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.816666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.881111111111111
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.956666666666667
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.967777777777778
