task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.6
Classification,kgrc_person_object_place,1.0,NB,,0.6
Classification,kgrc_person_object_place,1.0,NB,,0.614814814814815
Classification,kgrc_person_object_place,1.0,NB,,0.605555555555555
Classification,kgrc_person_object_place,1.0,NB,,0.609259259259259
Classification,kgrc_person_object_place,1.0,NB,,0.601851851851852
Classification,kgrc_person_object_place,1.0,NB,,0.6
Classification,kgrc_person_object_place,1.0,NB,,0.605555555555556
Classification,kgrc_person_object_place,1.0,NB,,0.605555555555556
Classification,kgrc_person_object_place,1.0,NB,,0.6
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.653703703703704
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.661111111111111
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.657407407407407
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.664814814814815
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.67962962962963
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.666666666666667
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.666666666666667
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.655555555555556
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.655555555555556
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.668518518518518
Classification,kgrc_person_object_place,1.0,C45,,0.566666666666667
Classification,kgrc_person_object_place,1.0,C45,,0.568518518518518
Classification,kgrc_person_object_place,1.0,C45,,0.57037037037037
Classification,kgrc_person_object_place,1.0,C45,,0.548148148148148
Classification,kgrc_person_object_place,1.0,C45,,0.594444444444444
Classification,kgrc_person_object_place,1.0,C45,,0.587037037037037
Classification,kgrc_person_object_place,1.0,C45,,0.577777777777778
Classification,kgrc_person_object_place,1.0,C45,,0.564814814814815
Classification,kgrc_person_object_place,1.0,C45,,0.601851851851852
Classification,kgrc_person_object_place,1.0,C45,,0.583333333333333
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.624074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.624074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.627777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.72962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.775925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.744444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.703703703703704
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.624074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.624074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.642592592592593
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.731481481481482
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.787037037037037
