task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.874444444444444
Classification,kgrc_qt900,1.0,NB,,0.875555555555555
Classification,kgrc_qt900,1.0,NB,,0.874444444444444
Classification,kgrc_qt900,1.0,NB,,0.874444444444445
Classification,kgrc_qt900,1.0,NB,,0.871111111111111
Classification,kgrc_qt900,1.0,NB,,0.872222222222222
Classification,kgrc_qt900,1.0,NB,,0.876666666666667
Classification,kgrc_qt900,1.0,NB,,0.874444444444445
Classification,kgrc_qt900,1.0,NB,,0.878888888888889
Classification,kgrc_qt900,1.0,NB,,0.876666666666667
Classification,kgrc_qt900,1.0,KNN,K=3,0.902222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.911111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.912222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.905555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.902222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.91
Classification,kgrc_qt900,1.0,KNN,K=3,0.908888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.908888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.913333333333334
Classification,kgrc_qt900,1.0,KNN,K=3,0.905555555555556
Classification,kgrc_qt900,1.0,C45,,0.783333333333333
Classification,kgrc_qt900,1.0,C45,,0.816666666666667
Classification,kgrc_qt900,1.0,C45,,0.801111111111111
Classification,kgrc_qt900,1.0,C45,,0.803333333333333
Classification,kgrc_qt900,1.0,C45,,0.818888888888889
Classification,kgrc_qt900,1.0,C45,,0.798888888888889
Classification,kgrc_qt900,1.0,C45,,0.8
Classification,kgrc_qt900,1.0,C45,,0.808888888888889
Classification,kgrc_qt900,1.0,C45,,0.832222222222222
Classification,kgrc_qt900,1.0,C45,,0.8
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.841111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.841111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.907777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.986666666666667
Classification,kgrc_qt900,1.0,SVM,C=100,0.985555555555556
Classification,kgrc_qt900,1.0,SVM,C=1000,0.985555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.832222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.832222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.908888888888889
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.987777777777778
Classification,kgrc_qt900,1.0,SVM,C=100,0.986666666666667
Classification,kgrc_qt900,1.0,SVM,C=1000,0.986666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.828888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.828888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.907777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.988888888888889
Classification,kgrc_qt900,1.0,SVM,C=100,0.987777777777778
Classification,kgrc_qt900,1.0,SVM,C=1000,0.987777777777778
