task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 280 287 232
Classification kgrc_person_object_place KNN K=3 accuracy 163 287 237
Classification kgrc_person_object_place C45 - accuracy 161 287 272
Classification kgrc_person_object_place SVM C=0.001 accuracy 280 287 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 280 287 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 280 287 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 281 287 187
Classification kgrc_person_object_place SVM C=10.0 accuracy 273 287 195
Classification kgrc_person_object_place SVM C=100 accuracy 278 287 205
Classification kgrc_person_object_place SVM C=1000 accuracy 280 287 201
Classification kgrc_qt900 NB - accuracy 43 292 244
Classification kgrc_qt900 KNN K=3 accuracy 0 292 222
Classification kgrc_qt900 C45 - accuracy 5 292 276
Classification kgrc_qt900 SVM C=0.001 accuracy 3 292 243
Classification kgrc_qt900 SVM C=0.01 accuracy 3 292 243
Classification kgrc_qt900 SVM C=0.1 accuracy 2 292 243
Classification kgrc_qt900 SVM C=1.0 accuracy 48 292 226
Classification kgrc_qt900 SVM C=10.0 accuracy 12 292 219
Classification kgrc_qt900 SVM C=100 accuracy 14 292 220
Classification kgrc_qt900 SVM C=1000 accuracy 14 292 221
