task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.601851851851852
Classification,kgrc_person_object_place,1.0,NB,,0.594444444444444
Classification,kgrc_person_object_place,1.0,NB,,0.601851851851852
Classification,kgrc_person_object_place,1.0,NB,,0.616666666666667
Classification,kgrc_person_object_place,1.0,NB,,0.6
Classification,kgrc_person_object_place,1.0,NB,,0.601851851851852
Classification,kgrc_person_object_place,1.0,NB,,0.62037037037037
Classification,kgrc_person_object_place,1.0,NB,,0.603703703703704
Classification,kgrc_person_object_place,1.0,NB,,0.594444444444444
Classification,kgrc_person_object_place,1.0,NB,,0.605555555555556
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.575925925925926
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.601851851851852
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.583333333333333
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.588888888888889
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.6
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.612962962962963
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.592592592592592
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.587037037037037
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.581481481481482
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.583333333333333
Classification,kgrc_person_object_place,1.0,C45,,0.52962962962963
Classification,kgrc_person_object_place,1.0,C45,,0.514814814814815
Classification,kgrc_person_object_place,1.0,C45,,0.505555555555556
Classification,kgrc_person_object_place,1.0,C45,,0.55
Classification,kgrc_person_object_place,1.0,C45,,0.516666666666667
Classification,kgrc_person_object_place,1.0,C45,,0.538888888888889
Classification,kgrc_person_object_place,1.0,C45,,0.511111111111111
Classification,kgrc_person_object_place,1.0,C45,,0.544444444444444
Classification,kgrc_person_object_place,1.0,C45,,0.527777777777778
Classification,kgrc_person_object_place,1.0,C45,,0.509259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.618518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.618518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.618518518518519
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.688888888888889
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.711111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.698148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.622222222222222
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.624074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.624074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.625925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.7
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.744444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.698148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.614814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.638888888888889
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.638888888888889
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.635185185185185
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.692592592592592
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.731481481481481
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.683333333333333
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.631481481481482
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.62962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.62962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.62962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.692592592592592
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.72962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.696296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.611111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.62962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.62962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.627777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.701851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.725925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.7
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.631481481481482
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.625925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.625925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.62962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.696296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.737037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.703703703703704
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.648148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.62037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.62037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.625925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.696296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.733333333333333
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.690740740740741
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.627777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.627777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.627777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.631481481481482
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.690740740740741
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.716666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.674074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.616666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.612962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.612962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.616666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.696296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.724074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.696296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.651851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.609259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.609259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.611111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.677777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.716666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.696296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.646296296296296
