task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.883333333333333
Classification,kgrc_qt900,1.0,NB,,0.881111111111111
Classification,kgrc_qt900,1.0,NB,,0.883333333333333
Classification,kgrc_qt900,1.0,NB,,0.884444444444444
Classification,kgrc_qt900,1.0,NB,,0.885555555555556
Classification,kgrc_qt900,1.0,NB,,0.888888888888889
Classification,kgrc_qt900,1.0,NB,,0.888888888888889
Classification,kgrc_qt900,1.0,NB,,0.883333333333333
Classification,kgrc_qt900,1.0,NB,,0.888888888888889
Classification,kgrc_qt900,1.0,NB,,0.885555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.9
Classification,kgrc_qt900,1.0,KNN,K=3,0.907777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.905555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.911111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.905555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.911111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.905555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.907777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.912222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.906666666666667
Classification,kgrc_qt900,1.0,C45,,0.796666666666667
Classification,kgrc_qt900,1.0,C45,,0.813333333333333
Classification,kgrc_qt900,1.0,C45,,0.817777777777778
Classification,kgrc_qt900,1.0,C45,,0.813333333333334
Classification,kgrc_qt900,1.0,C45,,0.814444444444444
Classification,kgrc_qt900,1.0,C45,,0.832222222222222
Classification,kgrc_qt900,1.0,C45,,0.81
Classification,kgrc_qt900,1.0,C45,,0.82
Classification,kgrc_qt900,1.0,C45,,0.827777777777778
Classification,kgrc_qt900,1.0,C45,,0.816666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.868888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.868888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.901111111111111
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.964444444444444
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.975555555555556
Classification,kgrc_qt900,1.0,SVM,C=100,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=1000,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.866666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.866666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.896666666666667
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.958888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=100,0.975555555555556
Classification,kgrc_qt900,1.0,SVM,C=1000,0.975555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.86
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.86
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.898888888888889
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.964444444444444
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=100,0.98
Classification,kgrc_qt900,1.0,SVM,C=1000,0.98
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.861111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.861111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.894444444444444
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.961111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.975555555555556
Classification,kgrc_qt900,1.0,SVM,C=100,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=1000,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.866666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.866666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.898888888888889
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.96
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.976666666666667
Classification,kgrc_qt900,1.0,SVM,C=100,0.98
Classification,kgrc_qt900,1.0,SVM,C=1000,0.98
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.864444444444445
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.864444444444445
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.895555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.96
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=1000,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.861111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.861111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.894444444444444
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.972222222222222
Classification,kgrc_qt900,1.0,SVM,C=1000,0.972222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.866666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.866666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.895555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.961111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.975555555555556
Classification,kgrc_qt900,1.0,SVM,C=100,0.975555555555556
Classification,kgrc_qt900,1.0,SVM,C=1000,0.975555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.863333333333334
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.863333333333334
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.897777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.957777777777778
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=100,0.977777777777778
Classification,kgrc_qt900,1.0,SVM,C=1000,0.977777777777778
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.86
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.86
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.896666666666667
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.96
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.974444444444444
Classification,kgrc_qt900,1.0,SVM,C=1000,0.974444444444444
