task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 281 284 232
Classification kgrc_person_object_place KNN K=3 accuracy 282 284 237
Classification kgrc_person_object_place C45 - accuracy 280 284 269
Classification kgrc_person_object_place SVM C=0.001 accuracy 281 284 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 281 284 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 282 284 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 282 284 187
Classification kgrc_person_object_place SVM C=10.0 accuracy 282 284 195
Classification kgrc_person_object_place SVM C=100 accuracy 282 284 205
Classification kgrc_person_object_place SVM C=1000 accuracy 282 284 201
Classification kgrc_qt900 NB - accuracy 2 289 244
Classification kgrc_qt900 KNN K=3 accuracy 4 289 221
Classification kgrc_qt900 C45 - accuracy 1 289 273
Classification kgrc_qt900 SVM C=0.001 accuracy 0 289 243
Classification kgrc_qt900 SVM C=0.01 accuracy 0 289 243
Classification kgrc_qt900 SVM C=0.1 accuracy 41 289 243
Classification kgrc_qt900 SVM C=1.0 accuracy 147 289 226
Classification kgrc_qt900 SVM C=10.0 accuracy 89 289 218
Classification kgrc_qt900 SVM C=100 accuracy 86 289 219
Classification kgrc_qt900 SVM C=1000 accuracy 86 289 220
