task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 136 288 232
Classification kgrc_person_object_place KNN K=3 accuracy 13 288 237
Classification kgrc_person_object_place C45 - accuracy 42 288 273
Classification kgrc_person_object_place SVM C=0.001 accuracy 130 288 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 130 288 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 120 288 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 4 288 188
Classification kgrc_person_object_place SVM C=10.0 accuracy 4 288 196
Classification kgrc_person_object_place SVM C=100 accuracy 6 288 206
Classification kgrc_person_object_place SVM C=1000 accuracy 6 288 202
Classification kgrc_qt900 NB - accuracy 175 293 244
Classification kgrc_qt900 KNN K=3 accuracy 61 293 221
Classification kgrc_qt900 C45 - accuracy 15 293 277
Classification kgrc_qt900 SVM C=0.001 accuracy 10 293 243
Classification kgrc_qt900 SVM C=0.01 accuracy 10 293 243
Classification kgrc_qt900 SVM C=0.1 accuracy 85 293 243
Classification kgrc_qt900 SVM C=1.0 accuracy 214 293 227
Classification kgrc_qt900 SVM C=10.0 accuracy 179 293 219
Classification kgrc_qt900 SVM C=100 accuracy 120 293 220
Classification kgrc_qt900 SVM C=1000 accuracy 120 293 221
