task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.833333333333333
Classification,kgrc_person_object_place,1.0,NB,,0.831481481481482
Classification,kgrc_person_object_place,1.0,NB,,0.831481481481481
Classification,kgrc_person_object_place,1.0,NB,,0.833333333333333
Classification,kgrc_person_object_place,1.0,NB,,0.833333333333333
Classification,kgrc_person_object_place,1.0,NB,,0.833333333333333
Classification,kgrc_person_object_place,1.0,NB,,0.835185185185185
Classification,kgrc_person_object_place,1.0,NB,,0.82962962962963
Classification,kgrc_person_object_place,1.0,NB,,0.831481481481482
Classification,kgrc_person_object_place,1.0,NB,,0.833333333333333
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.790740740740741
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.792592592592593
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.783333333333333
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.785185185185185
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.792592592592592
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.801851851851852
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.77962962962963
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.787037037037037
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.794444444444444
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.809259259259259
Classification,kgrc_person_object_place,1.0,C45,,0.694444444444444
Classification,kgrc_person_object_place,1.0,C45,,0.701851851851852
Classification,kgrc_person_object_place,1.0,C45,,0.742592592592593
Classification,kgrc_person_object_place,1.0,C45,,0.724074074074074
Classification,kgrc_person_object_place,1.0,C45,,0.692592592592592
Classification,kgrc_person_object_place,1.0,C45,,0.701851851851852
Classification,kgrc_person_object_place,1.0,C45,,0.718518518518518
Classification,kgrc_person_object_place,1.0,C45,,0.722222222222222
Classification,kgrc_person_object_place,1.0,C45,,0.701851851851852
Classification,kgrc_person_object_place,1.0,C45,,0.672222222222222
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.857407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.857407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.894444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.951851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.892592592592593
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.888888888888889
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.85
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.85
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.888888888888889
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.953703703703704
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.892592592592593
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.848148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.848148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.890740740740741
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.892592592592593
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.964814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.851851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.851851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.894444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.951851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.855555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.855555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.892592592592593
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.851851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.851851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.892592592592593
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.962962962962963
