task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.867777777777778
Classification,kgrc_qt900,1.0,NB,,0.865555555555556
Classification,kgrc_qt900,1.0,NB,,0.863333333333333
Classification,kgrc_qt900,1.0,NB,,0.862222222222222
Classification,kgrc_qt900,1.0,NB,,0.867777777777778
Classification,kgrc_qt900,1.0,NB,,0.865555555555556
Classification,kgrc_qt900,1.0,NB,,0.866666666666667
Classification,kgrc_qt900,1.0,NB,,0.871111111111111
Classification,kgrc_qt900,1.0,NB,,0.874444444444445
Classification,kgrc_qt900,1.0,NB,,0.861111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.891111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.9
Classification,kgrc_qt900,1.0,KNN,K=3,0.897777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.894444444444444
Classification,kgrc_qt900,1.0,KNN,K=3,0.896666666666667
Classification,kgrc_qt900,1.0,KNN,K=3,0.9
Classification,kgrc_qt900,1.0,KNN,K=3,0.894444444444444
Classification,kgrc_qt900,1.0,KNN,K=3,0.898888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.902222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.894444444444444
Classification,kgrc_qt900,1.0,C45,,0.8
Classification,kgrc_qt900,1.0,C45,,0.792222222222222
Classification,kgrc_qt900,1.0,C45,,0.814444444444444
Classification,kgrc_qt900,1.0,C45,,0.792222222222222
Classification,kgrc_qt900,1.0,C45,,0.815555555555556
Classification,kgrc_qt900,1.0,C45,,0.818888888888889
Classification,kgrc_qt900,1.0,C45,,0.806666666666667
Classification,kgrc_qt900,1.0,C45,,0.813333333333333
Classification,kgrc_qt900,1.0,C45,,0.823333333333333
Classification,kgrc_qt900,1.0,C45,,0.81
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.856666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.856666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.885555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.944444444444444
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=100,0.966666666666667
Classification,kgrc_qt900,1.0,SVM,C=1000,0.966666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.855555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.855555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.884444444444444
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.942222222222222
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=100,0.964444444444444
Classification,kgrc_qt900,1.0,SVM,C=1000,0.964444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.848888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.848888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.883333333333333
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.942222222222222
