task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 32 289 232
Classification kgrc_person_object_place KNN K=3 accuracy 41 289 237
Classification kgrc_person_object_place C45 - accuracy 15 289 274
Classification kgrc_person_object_place SVM C=0.001 accuracy 35 289 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 35 289 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 3 289 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 21 289 187
Classification kgrc_person_object_place SVM C=10.0 accuracy 57 289 195
Classification kgrc_person_object_place SVM C=100 accuracy 70 289 205
Classification kgrc_person_object_place SVM C=1000 accuracy 57 289 201
Classification kgrc_qt900 NB - accuracy 84 294 244
Classification kgrc_qt900 KNN K=3 accuracy 21 294 221
Classification kgrc_qt900 C45 - accuracy 4 294 278
Classification kgrc_qt900 SVM C=0.001 accuracy 2 294 243
Classification kgrc_qt900 SVM C=0.01 accuracy 2 294 243
Classification kgrc_qt900 SVM C=0.1 accuracy 93 294 243
Classification kgrc_qt900 SVM C=1.0 accuracy 254 294 226
Classification kgrc_qt900 SVM C=10.0 accuracy 220 294 218
Classification kgrc_qt900 SVM C=100 accuracy 199 294 220
Classification kgrc_qt900 SVM C=1000 accuracy 199 294 221
