task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.692592592592593
Classification,kgrc_person_object_place,1.0,NB,,0.698148148148148
Classification,kgrc_person_object_place,1.0,NB,,0.698148148148148
Classification,kgrc_person_object_place,1.0,NB,,0.692592592592592
Classification,kgrc_person_object_place,1.0,NB,,0.694444444444444
Classification,kgrc_person_object_place,1.0,NB,,0.692592592592592
Classification,kgrc_person_object_place,1.0,NB,,0.690740740740741
Classification,kgrc_person_object_place,1.0,NB,,0.7
Classification,kgrc_person_object_place,1.0,NB,,0.698148148148148
Classification,kgrc_person_object_place,1.0,NB,,0.694444444444444
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.651851851851852
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.638888888888889
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.635185185185185
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.644444444444444
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.646296296296296
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.657407407407407
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.624074074074074
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.648148148148148
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.638888888888889
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.62962962962963
Classification,kgrc_person_object_place,1.0,C45,,0.544444444444444
Classification,kgrc_person_object_place,1.0,C45,,0.55
Classification,kgrc_person_object_place,1.0,C45,,0.555555555555556
Classification,kgrc_person_object_place,1.0,C45,,0.553703703703704
Classification,kgrc_person_object_place,1.0,C45,,0.574074074074074
Classification,kgrc_person_object_place,1.0,C45,,0.564814814814815
Classification,kgrc_person_object_place,1.0,C45,,0.546296296296296
Classification,kgrc_person_object_place,1.0,C45,,0.551851851851852
Classification,kgrc_person_object_place,1.0,C45,,0.561111111111111
Classification,kgrc_person_object_place,1.0,C45,,0.546296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.709259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.709259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.712962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.8
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.774074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.774074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.764814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.711111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.711111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.72037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.811111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.796296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.787037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.774074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.705555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.705555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.724074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.805555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.788888888888889
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.783333333333333
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.759259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.718518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.718518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.718518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.801851851851852
