task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_place,0.775,NB,,0.903333333333334
Classification,kgrc_person_place,0.775,NB,,0.896666666666667
Classification,kgrc_person_place,0.775,NB,,0.910833333333333
Classification,kgrc_person_place,0.775,NB,,0.904583333333333
Classification,kgrc_person_place,0.775,NB,,0.903333333333333
Classification,kgrc_person_place,0.775,NB,,0.909166666666667
Classification,kgrc_person_place,0.775,NB,,0.890416666666667
Classification,kgrc_person_place,0.775,NB,,0.89125
Classification,kgrc_person_place,0.775,NB,,0.877083333333333
Classification,kgrc_person_place,0.775,NB,,0.89
Classification,kgrc_person_place,0.775,KNN,K=3,0.774166666666667
Classification,kgrc_person_place,0.775,KNN,K=3,0.767916666666667
Classification,kgrc_person_place,0.775,KNN,K=3,0.774583333333333
Classification,kgrc_person_place,0.775,KNN,K=3,0.748333333333333
Classification,kgrc_person_place,0.775,KNN,K=3,0.78125
Classification,kgrc_person_place,0.775,KNN,K=3,0.767083333333333
Classification,kgrc_person_place,0.775,KNN,K=3,0.747916666666667
Classification,kgrc_person_place,0.775,KNN,K=3,0.767083333333333
Classification,kgrc_person_place,0.775,KNN,K=3,0.755
Classification,kgrc_person_place,0.775,KNN,K=3,0.78
Classification,kgrc_person_place,0.775,C45,,0.695416666666667
Classification,kgrc_person_place,0.775,C45,,0.747916666666667
Classification,kgrc_person_place,0.775,C45,,0.650416666666667
Classification,kgrc_person_place,0.775,C45,,0.660416666666667
Classification,kgrc_person_place,0.775,C45,,0.742916666666667
Classification,kgrc_person_place,0.775,C45,,0.717083333333333
Classification,kgrc_person_place,0.775,C45,,0.70375
Classification,kgrc_person_place,0.775,C45,,0.703333333333333
Classification,kgrc_person_place,0.775,C45,,0.722916666666667
Classification,kgrc_person_place,0.775,C45,,0.721666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.522916666666667
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.9225
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.897083333333333
Classification,kgrc_person_place,0.775,SVM,C=100,0.897083333333333
Classification,kgrc_person_place,0.775,SVM,C=1000,0.897083333333333
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.523333333333333
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.92875
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.922083333333333
Classification,kgrc_person_place,0.775,SVM,C=100,0.922083333333333
Classification,kgrc_person_place,0.775,SVM,C=1000,0.922083333333333
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.53
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.942916666666667
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.917083333333334
Classification,kgrc_person_place,0.775,SVM,C=100,0.917083333333334
Classification,kgrc_person_place,0.775,SVM,C=1000,0.917083333333334
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.53
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.93625
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.9175
Classification,kgrc_person_place,0.775,SVM,C=100,0.9175
Classification,kgrc_person_place,0.775,SVM,C=1000,0.9175
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.529583333333333
Classification,kgrc_person_place,0.775,SVM,C=1.0,0.923333333333334
Classification,kgrc_person_place,0.775,SVM,C=10.0,0.916666666666667
Classification,kgrc_person_place,0.775,SVM,C=100,0.916666666666667
Classification,kgrc_person_place,0.775,SVM,C=1000,0.916666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.001,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.01,0.516666666666667
Classification,kgrc_person_place,0.775,SVM,C=0.1,0.529583333333333
