task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 149 283 232
Classification kgrc_person_object_place KNN K=3 accuracy 246 283 237
Classification kgrc_person_object_place C45 - accuracy 233 283 268
Classification kgrc_person_object_place SVM C=0.001 accuracy 179 283 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 179 283 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 172 283 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 232 283 187
Classification kgrc_person_object_place SVM C=10.0 accuracy 269 283 195
Classification kgrc_person_object_place SVM C=100 accuracy 237 283 205
Classification kgrc_person_object_place SVM C=1000 accuracy 219 283 201
Classification kgrc_qt900 NB - accuracy 65 288 244
Classification kgrc_qt900 KNN K=3 accuracy 74 288 221
Classification kgrc_qt900 C45 - accuracy 194 288 272
Classification kgrc_qt900 SVM C=0.001 accuracy 126 288 243
Classification kgrc_qt900 SVM C=0.01 accuracy 126 288 243
Classification kgrc_qt900 SVM C=0.1 accuracy 60 288 243
Classification kgrc_qt900 SVM C=1.0 accuracy 29 288 226
Classification kgrc_qt900 SVM C=10.0 accuracy 35 288 219
Classification kgrc_qt900 SVM C=100 accuracy 35 288 220
Classification kgrc_qt900 SVM C=1000 accuracy 35 288 221
