test_name task_name gold_standard_file coverage model model_configuration metric score_value
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 NB - accuracy 0.6670370370370369
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 KNN K=3 accuracy 0.6468518518518519
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 C45 - accuracy 0.5524074074074072
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.001 accuracy 0.6611111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.01 accuracy 0.6611111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.1 accuracy 0.6738888888888891
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1.0 accuracy 0.8077777777777779
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=10.0 accuracy 0.7968518518518518
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=100 accuracy 0.7775925925925927
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1000 accuracy 0.7742592592592593
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 NB - accuracy 0.7975555555555557
./experiment_qtwalk/ikgrc_rdfstar2vec_1.0_0.9_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 KNN K=3 accuracy 0.8557777777777776
