task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.653703703703704
Classification,kgrc_person_object_place,1.0,NB,,0.651851851851852
Classification,kgrc_person_object_place,1.0,NB,,0.65
Classification,kgrc_person_object_place,1.0,NB,,0.646296296296296
Classification,kgrc_person_object_place,1.0,NB,,0.65
Classification,kgrc_person_object_place,1.0,NB,,0.642592592592593
Classification,kgrc_person_object_place,1.0,NB,,0.657407407407408
Classification,kgrc_person_object_place,1.0,NB,,0.642592592592593
Classification,kgrc_person_object_place,1.0,NB,,0.659259259259259
Classification,kgrc_person_object_place,1.0,NB,,0.646296296296296
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.601851851851852
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.62037037037037
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.609259259259259
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.62037037037037
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.622222222222222
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.609259259259259
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.609259259259259
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.607407407407407
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.598148148148148
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.618518518518519
Classification,kgrc_person_object_place,1.0,C45,,0.505555555555555
Classification,kgrc_person_object_place,1.0,C45,,0.535185185185185
Classification,kgrc_person_object_place,1.0,C45,,0.522222222222222
Classification,kgrc_person_object_place,1.0,C45,,0.496296296296296
Classification,kgrc_person_object_place,1.0,C45,,0.548148148148148
Classification,kgrc_person_object_place,1.0,C45,,0.52962962962963
Classification,kgrc_person_object_place,1.0,C45,,0.516666666666667
Classification,kgrc_person_object_place,1.0,C45,,0.512962962962963
Classification,kgrc_person_object_place,1.0,C45,,0.498148148148148
Classification,kgrc_person_object_place,1.0,C45,,0.542592592592593
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.648148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.648148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.657407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.75
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.737037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.725925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.722222222222222
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.655555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.655555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.659259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.75
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.737037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.712962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.707407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.651851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.651851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.666666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.735185185185185
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.724074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.724074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.705555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.668518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.668518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.674074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.753703703703704
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.72962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.724074074074074
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.714814814814815
