task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 272 285 232
Classification kgrc_person_object_place KNN K=3 accuracy 280 285 237
Classification kgrc_person_object_place C45 - accuracy 282 285 270
Classification kgrc_person_object_place SVM C=0.001 accuracy 268 285 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 268 285 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 273 285 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 276 285 187
Classification kgrc_person_object_place SVM C=10.0 accuracy 280 285 195
Classification kgrc_person_object_place SVM C=100 accuracy 280 285 205
Classification kgrc_person_object_place SVM C=1000 accuracy 276 285 201
Classification kgrc_qt900 NB - accuracy 20 290 244
Classification kgrc_qt900 KNN K=3 accuracy 69 290 221
Classification kgrc_qt900 C45 - accuracy 224 290 274
Classification kgrc_qt900 SVM C=0.001 accuracy 108 290 243
Classification kgrc_qt900 SVM C=0.01 accuracy 108 290 243
Classification kgrc_qt900 SVM C=0.1 accuracy 96 290 243
Classification kgrc_qt900 SVM C=1.0 accuracy 37 290 227
Classification kgrc_qt900 SVM C=10.0 accuracy 65 290 218
Classification kgrc_qt900 SVM C=100 accuracy 65 290 219
Classification kgrc_qt900 SVM C=1000 accuracy 65 290 220
