task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.833333333333333
Classification,kgrc_person_object_place,1.0,NB,,0.837037037037037
Classification,kgrc_person_object_place,1.0,NB,,0.82962962962963
Classification,kgrc_person_object_place,1.0,NB,,0.82962962962963
Classification,kgrc_person_object_place,1.0,NB,,0.837037037037037
Classification,kgrc_person_object_place,1.0,NB,,0.835185185185185
Classification,kgrc_person_object_place,1.0,NB,,0.837037037037037
Classification,kgrc_person_object_place,1.0,NB,,0.825925925925926
Classification,kgrc_person_object_place,1.0,NB,,0.831481481481482
Classification,kgrc_person_object_place,1.0,NB,,0.827777777777778
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.788888888888889
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.788888888888889
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.788888888888889
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.781481481481482
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.8
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.8
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.792592592592592
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.787037037037037
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.783333333333333
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.787037037037037
Classification,kgrc_person_object_place,1.0,C45,,0.638888888888889
Classification,kgrc_person_object_place,1.0,C45,,0.662962962962963
Classification,kgrc_person_object_place,1.0,C45,,0.666666666666667
Classification,kgrc_person_object_place,1.0,C45,,0.674074074074074
Classification,kgrc_person_object_place,1.0,C45,,0.675925925925926
Classification,kgrc_person_object_place,1.0,C45,,0.674074074074074
Classification,kgrc_person_object_place,1.0,C45,,0.646296296296296
Classification,kgrc_person_object_place,1.0,C45,,0.681481481481482
Classification,kgrc_person_object_place,1.0,C45,,0.67037037037037
Classification,kgrc_person_object_place,1.0,C45,,0.675925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.881481481481482
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.948148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.885185185185185
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.883333333333333
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.953703703703704
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.887037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.866666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.866666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.883333333333333
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.883333333333333
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.951851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.957407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.957407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.957407407407407
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.881481481481482
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.953703703703704
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.962962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.877777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.961111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.887037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.955555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.959259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.957407407407408
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.957407407407408
