task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.856666666666667
Classification,kgrc_qt900,1.0,NB,,0.848888888888889
Classification,kgrc_qt900,1.0,NB,,0.857777777777778
Classification,kgrc_qt900,1.0,NB,,0.855555555555556
Classification,kgrc_qt900,1.0,NB,,0.854444444444444
Classification,kgrc_qt900,1.0,NB,,0.854444444444444
Classification,kgrc_qt900,1.0,NB,,0.854444444444444
Classification,kgrc_qt900,1.0,NB,,0.858888888888889
Classification,kgrc_qt900,1.0,NB,,0.862222222222222
Classification,kgrc_qt900,1.0,NB,,0.858888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.875555555555556
Classification,kgrc_qt900,1.0,KNN,K=3,0.881111111111111
Classification,kgrc_qt900,1.0,KNN,K=3,0.875555555555555
Classification,kgrc_qt900,1.0,KNN,K=3,0.884444444444444
Classification,kgrc_qt900,1.0,KNN,K=3,0.87
Classification,kgrc_qt900,1.0,KNN,K=3,0.88
Classification,kgrc_qt900,1.0,KNN,K=3,0.88
Classification,kgrc_qt900,1.0,KNN,K=3,0.88
Classification,kgrc_qt900,1.0,KNN,K=3,0.883333333333333
Classification,kgrc_qt900,1.0,KNN,K=3,0.887777777777778
Classification,kgrc_qt900,1.0,C45,,0.681111111111111
Classification,kgrc_qt900,1.0,C45,,0.638888888888889
Classification,kgrc_qt900,1.0,C45,,0.697777777777778
Classification,kgrc_qt900,1.0,C45,,0.665555555555556
Classification,kgrc_qt900,1.0,C45,,0.648888888888889
Classification,kgrc_qt900,1.0,C45,,0.681111111111111
Classification,kgrc_qt900,1.0,C45,,0.677777777777778
Classification,kgrc_qt900,1.0,C45,,0.667777777777778
Classification,kgrc_qt900,1.0,C45,,0.67
Classification,kgrc_qt900,1.0,C45,,0.678888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.732222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.732222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.864444444444445
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.955555555555556
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.961111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.961111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.961111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.736666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.736666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.861111111111111
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.958888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.968888888888889
Classification,kgrc_qt900,1.0,SVM,C=100,0.968888888888889
Classification,kgrc_qt900,1.0,SVM,C=1000,0.968888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.723333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.723333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.861111111111111
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.961111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.967777777777778
Classification,kgrc_qt900,1.0,SVM,C=100,0.967777777777778
Classification,kgrc_qt900,1.0,SVM,C=1000,0.967777777777778
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.732222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.732222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.864444444444445
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.961111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=1000,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.734444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.734444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.866666666666667
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.957777777777778
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.971111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.723333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.723333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.867777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.957777777777778
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.968888888888889
Classification,kgrc_qt900,1.0,SVM,C=100,0.968888888888889
Classification,kgrc_qt900,1.0,SVM,C=1000,0.968888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.727777777777778
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.727777777777778
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.865555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.963333333333333
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.97
Classification,kgrc_qt900,1.0,SVM,C=100,0.97
Classification,kgrc_qt900,1.0,SVM,C=1000,0.97
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.737777777777778
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.737777777777778
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.864444444444445
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.96
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.97
Classification,kgrc_qt900,1.0,SVM,C=100,0.97
Classification,kgrc_qt900,1.0,SVM,C=1000,0.97
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.73
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.73
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.867777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.96
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.974444444444444
Classification,kgrc_qt900,1.0,SVM,C=100,0.974444444444444
Classification,kgrc_qt900,1.0,SVM,C=1000,0.974444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.724444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.724444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.863333333333333
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.955555555555556
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=100,0.973333333333333
Classification,kgrc_qt900,1.0,SVM,C=1000,0.973333333333333
