task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 36 291 232
Classification kgrc_person_object_place KNN K=3 accuracy 49 291 237
Classification kgrc_person_object_place C45 - accuracy 95 291 275
Classification kgrc_person_object_place SVM C=0.001 accuracy 8 291 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 8 291 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 30 291 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 74 291 188
Classification kgrc_person_object_place SVM C=10.0 accuracy 108 291 196
Classification kgrc_person_object_place SVM C=100 accuracy 89 291 205
Classification kgrc_person_object_place SVM C=1000 accuracy 74 291 201
Classification kgrc_qt900 NB - accuracy 139 296 244
Classification kgrc_qt900 KNN K=3 accuracy 191 296 221
Classification kgrc_qt900 C45 - accuracy 246 296 280
Classification kgrc_qt900 SVM C=0.001 accuracy 238 296 243
Classification kgrc_qt900 SVM C=0.01 accuracy 238 296 243
Classification kgrc_qt900 SVM C=0.1 accuracy 181 296 243
Classification kgrc_qt900 SVM C=1.0 accuracy 165 296 227
Classification kgrc_qt900 SVM C=10.0 accuracy 140 296 218
Classification kgrc_qt900 SVM C=100 accuracy 151 296 219
Classification kgrc_qt900 SVM C=1000 accuracy 151 296 220
