task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_person_object_place,1.0,NB,,0.87037037037037
Classification,kgrc_person_object_place,1.0,NB,,0.864814814814815
Classification,kgrc_person_object_place,1.0,NB,,0.862962962962963
Classification,kgrc_person_object_place,1.0,NB,,0.87037037037037
Classification,kgrc_person_object_place,1.0,NB,,0.868518518518518
Classification,kgrc_person_object_place,1.0,NB,,0.864814814814815
Classification,kgrc_person_object_place,1.0,NB,,0.872222222222222
Classification,kgrc_person_object_place,1.0,NB,,0.877777777777778
Classification,kgrc_person_object_place,1.0,NB,,0.872222222222222
Classification,kgrc_person_object_place,1.0,NB,,0.868518518518518
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.753703703703704
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.768518518518518
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.751851851851852
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.764814814814815
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.766666666666667
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.761111111111111
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.766666666666667
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.764814814814815
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.777777777777778
Classification,kgrc_person_object_place,1.0,KNN,K=3,0.775925925925926
Classification,kgrc_person_object_place,1.0,C45,,0.67962962962963
Classification,kgrc_person_object_place,1.0,C45,,0.683333333333333
Classification,kgrc_person_object_place,1.0,C45,,0.674074074074074
Classification,kgrc_person_object_place,1.0,C45,,0.664814814814815
Classification,kgrc_person_object_place,1.0,C45,,0.675925925925926
Classification,kgrc_person_object_place,1.0,C45,,0.661111111111111
Classification,kgrc_person_object_place,1.0,C45,,0.653703703703704
Classification,kgrc_person_object_place,1.0,C45,,0.683333333333333
Classification,kgrc_person_object_place,1.0,C45,,0.67962962962963
Classification,kgrc_person_object_place,1.0,C45,,0.675925925925926
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.868518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.944444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.946296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.946296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.855555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.855555555555556
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.866666666666667
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.937037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.948148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.948148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.85
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.85
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.861111111111111
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.927777777777778
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.944444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.944444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.944444444444444
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.864814814814815
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.937037037037037
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.951851851851852
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.95
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.872222222222222
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.938888888888889
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.953703703703704
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.948148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.948148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.862962962962963
Classification,kgrc_person_object_place,1.0,SVM,C=0.1,0.868518518518518
Classification,kgrc_person_object_place,1.0,SVM,C=1.0,0.935185185185185
Classification,kgrc_person_object_place,1.0,SVM,C=10.0,0.946296296296296
Classification,kgrc_person_object_place,1.0,SVM,C=100,0.948148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=1000,0.948148148148148
Classification,kgrc_person_object_place,1.0,SVM,C=0.001,0.859259259259259
Classification,kgrc_person_object_place,1.0,SVM,C=0.01,0.859259259259259
