task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.83
Classification,kgrc_qt900,1.0,NB,,0.824444444444444
Classification,kgrc_qt900,1.0,NB,,0.832222222222222
Classification,kgrc_qt900,1.0,NB,,0.833333333333333
Classification,kgrc_qt900,1.0,NB,,0.833333333333333
Classification,kgrc_qt900,1.0,NB,,0.834444444444444
Classification,kgrc_qt900,1.0,NB,,0.822222222222222
Classification,kgrc_qt900,1.0,NB,,0.828888888888889
Classification,kgrc_qt900,1.0,NB,,0.835555555555556
Classification,kgrc_qt900,1.0,NB,,0.828888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.877777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.88
Classification,kgrc_qt900,1.0,KNN,K=3,0.883333333333333
Classification,kgrc_qt900,1.0,KNN,K=3,0.887777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.868888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.886666666666667
Classification,kgrc_qt900,1.0,KNN,K=3,0.877777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.878888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.88
Classification,kgrc_qt900,1.0,KNN,K=3,0.877777777777778
Classification,kgrc_qt900,1.0,C45,,0.696666666666667
Classification,kgrc_qt900,1.0,C45,,0.691111111111111
Classification,kgrc_qt900,1.0,C45,,0.695555555555556
Classification,kgrc_qt900,1.0,C45,,0.68
Classification,kgrc_qt900,1.0,C45,,0.688888888888889
Classification,kgrc_qt900,1.0,C45,,0.688888888888889
Classification,kgrc_qt900,1.0,C45,,0.66
Classification,kgrc_qt900,1.0,C45,,0.676666666666667
Classification,kgrc_qt900,1.0,C45,,0.663333333333333
Classification,kgrc_qt900,1.0,C45,,0.7
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.753333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.753333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.86
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.957777777777778
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=100,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=1000,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.751111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.751111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.865555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=100,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=1000,0.962222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.76
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.76
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.855555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.963333333333333
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.965555555555556
