task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification kgrc_person_object_place NB - accuracy 0 290 232
Classification kgrc_person_object_place KNN K=3 accuracy 139 290 237
Classification kgrc_person_object_place C45 - accuracy 78 290 274
Classification kgrc_person_object_place SVM C=0.001 accuracy 17 290 245
Classification kgrc_person_object_place SVM C=0.01 accuracy 17 290 245
Classification kgrc_person_object_place SVM C=0.1 accuracy 100 290 233
Classification kgrc_person_object_place SVM C=1.0 accuracy 142 290 187
Classification kgrc_person_object_place SVM C=10.0 accuracy 142 290 195
Classification kgrc_person_object_place SVM C=100 accuracy 142 290 205
Classification kgrc_person_object_place SVM C=1000 accuracy 142 290 201
Classification kgrc_qt900 NB - accuracy 239 295 244
Classification kgrc_qt900 KNN K=3 accuracy 188 295 221
Classification kgrc_qt900 C45 - accuracy 200 295 279
Classification kgrc_qt900 SVM C=0.001 accuracy 160 295 243
Classification kgrc_qt900 SVM C=0.01 accuracy 160 295 243
Classification kgrc_qt900 SVM C=0.1 accuracy 201 295 243
Classification kgrc_qt900 SVM C=1.0 accuracy 143 295 226
Classification kgrc_qt900 SVM C=10.0 accuracy 205 295 219
Classification kgrc_qt900 SVM C=100 accuracy 207 295 220
Classification kgrc_qt900 SVM C=1000 accuracy 207 295 221
